Date,Open,High,Low,Close,Volume
08/22/2025,"240.74","243.68","240.22","242.09","3,134,882"
08/21/2025,"242.21","242.50","238.65","239.40","2,991,902"
08/20/2025,"242.11","242.88","240.34","242.55","3,240,064"
08/19/2025,"240.00","242.83","239.49","241.28","3,328,305"
08/18/2025,"239.57","241.42","239.12","239.45","3,569,594"
08/15/2025,"237.61","240.62","236.77","239.72","4,344,322"
08/14/2025,"238.25","239.00","235.62","237.11","4,556,725"
08/13/2025,"236.20","240.84","236.20","240.07","5,663,562"
08/12/2025,"236.53","237.96","233.36","234.77","8,800,597"
08/11/2025,"242.24","243.15","234.70","236.30","9,381,960"
08/08/2025,"248.88","249.48","241.65","242.27","6,828,390"
08/07/2025,"252.81","255.00","248.88","250.16","6,251,285"
08/06/2025,"251.53","254.32","249.28","252.28","3,692,105"
08/05/2025,"252.00","252.80","249.00","250.67","5,823,016"
08/04/2025,"251.05","252.08","248.11","251.98","5,280,588"
08/01/2025,"251.41","251.48","245.61","250.05","9,683,404"
07/31/2025,"259.57","259.99","252.22","253.15","6,739,092"
07/30/2025,"261.60","262.00","258.90","260.26","3,718,290"
07/29/2025,"264.30","265.80","261.02","262.41","4,627,265"
07/28/2025,"260.30","264.00","259.61","263.21","5,192,516"
07/25/2025,"260.02","260.80","256.35","259.72","7,758,653"
07/24/2025,"261.25","262.05","252.75","260.51","22,647,721"
07/23/2025,"284.30","288.08","281.44","282.01","8,105,906"
07/22/2025,"284.74","284.88","281.25","281.96","4,824,219"
07/21/2025,"286.29","287.73","284.38","284.71","3,051,791"
07/18/2025,"283.38","287.16","282.22","285.87","4,478,165"
07/17/2025,"281.50","283.46","280.90","282.00","3,337,168"
07/16/2025,"282.75","283.87","279.87","281.92","2,804,831"
07/15/2025,"283.77","284.16","280.73","282.70","2,864,106"
07/14/2025,"282.83","284.93","281.71","283.79","2,857,401"
07/11/2025,"285.01","287.43","282.92","283.59","3,790,679"
07/10/2025,"288.90","288.90","282.21","287.43","3,489,068"
07/09/2025,"291.39","291.60","288.63","290.14","2,971,309"
07/08/2025,"293.10","295.61","289.49","290.42","2,925,329"
07/07/2025,"292.50","295.22","290.36","292.47","4,488,064"
07/03/2025,"287.94","292.32","287.90","291.97","1,853,289"
07/02/2025,"290.00","290.19","286.90","287.65","3,257,515"
07/01/2025,"294.55","295.11","290.08","291.20","3,272,797"
06/30/2025,"290.93","294.81","290.00","294.78","3,495,386"
06/27/2025,"292.97","293.12","288.52","289.70","3,562,501"
06/26/2025,"291.80","292.91","290.17","291.93","3,621,110"
06/25/2025,"294.49","296.16","289.50","291.06","3,862,309"
06/24/2025,"290.46","294.34","288.41","293.79","4,219,120"
06/23/2025,"281.65","289.58","280.21","289.18","3,786,159"
06/20/2025,"279.28","284.12","277.20","280.97","7,676,962"
06/18/2025,"285.00","286.91","282.94","283.21","3,534,110"
06/17/2025,"281.15","284.79","281.00","283.05","3,069,556"
06/16/2025,"279.31","284.50","278.67","281.83","3,685,321"
06/13/2025,"278.21","279.84","275.83","277.22","3,243,824"
06/12/2025,"281.53","283.06","279.83","281.03","3,418,007"
06/11/2025,"276.70","281.75","275.11","281.52","4,656,034"
06/10/2025,"273.19","277.47","272.56","276.24","5,163,507"
06/09/2025,"268.10","273.47","266.71","272.08","4,331,464"
06/06/2025,"267.99","270.17","267.53","268.87","2,495,543"
06/05/2025,"265.20","267.51","265.10","266.86","2,659,478"
06/04/2025,"264.90","267.00","264.79","265.52","2,588,741"
06/03/2025,"263.35","265.56","262.58","265.20","2,494,922"
06/02/2025,"257.85","263.98","257.22","263.90","2,831,881"
05/30/2025,"258.75","260.12","257.10","259.06","9,668,923"
05/29/2025,"260.75","261.13","256.77","258.69","2,295,228"
05/28/2025,"263.16","265.00","259.94","260.24","2,318,437"
05/27/2025,"261.00","263.79","259.63","263.23","3,284,216"
05/23/2025,"258.58","259.87","255.79","258.63","2,722,721"
05/22/2025,"260.77","261.27","257.91","258.37","3,091,253"
05/21/2025,"264.97","265.65","260.41","260.87","3,753,904"
05/20/2025,"267.40","269.28","265.62","266.95","2,437,860"
05/19/2025,"265.45","269.14","265.08","268.41","3,198,903"
05/16/2025,"266.35","267.98","264.59","266.76","3,817,937"
05/15/2025,"259.01","267.43","258.61","266.68","4,856,276"
05/14/2025,"257.60","260.55","256.22","257.82","3,635,124"
05/13/2025,"254.43","259.58","252.88","258.59","3,521,389"
05/12/2025,"252.50","253.81","244.65","253.69","4,609,520"
05/09/2025,"252.51","253.00","247.64","249.20","2,901,346"
05/08/2025,"255.00","256.52","253.25","254.14","3,637,012"
05/07/2025,"249.45","254.47","248.83","253.37","3,400,001"
05/06/2025,"247.76","250.19","246.11","249.12","2,900,556"
05/05/2025,"243.74","249.80","243.64","249.18","4,138,168"
05/02/2025,"243.13","245.69","241.33","245.55","3,731,946"
05/01/2025,"241.44","242.37","237.95","239.66","4,243,294"
04/30/2025,"236.73","242.47","234.34","241.82","5,142,993"
04/29/2025,"237.00","239.98","236.14","239.39","3,426,508"
04/28/2025,"232.86","236.63","232.07","236.16","3,653,461"
04/25/2025,"228.95","233.36","226.32","232.41","6,700,068"
04/24/2025,"231.18","232.78","224.44","229.33","15,428,140"
04/23/2025,"246.00","249.34","243.66","245.48","7,948,259"
04/22/2025,"238.50","242.64","238.02","240.90","4,232,658"
04/21/2025,"238.07","240.81","232.93","236.22","4,908,923"
04/17/2025,"239.68","241.78","237.40","238.81","4,635,204"
04/16/2025,"240.28","243.30","235.89","238.57","4,870,299"
04/15/2025,"239.55","241.53","238.27","240.70","3,363,708"
04/14/2025,"239.77","241.77","236.73","239.06","3,321,717"
04/11/2025,"229.72","237.58","227.51","235.48","4,325,895"
04/10/2025,"231.00","232.57","222.02","229.55","5,656,108"
04/09/2025,"217.12","236.30","215.16","235.31","7,302,808"
04/08/2025,"232.56","233.05","217.28","221.03","6,849,996"
04/07/2025,"219.24","232.29","214.50","225.78","7,797,889"
04/04/2025,"238.00","240.16","226.88","227.48","7,407,096"
04/03/2025,"242.71","250.61","242.53","243.49","5,309,626"
04/02/2025,"248.22","252.79","247.23","249.98","4,080,832"
04/01/2025,"248.03","250.62","243.49","250.34","4,413,139"
03/31/2025,"242.74","250.89","242.49","248.66","6,794,972"
03/28/2025,"246.27","247.57","242.07","244.00","3,125,594"
03/27/2025,"249.71","250.30","245.73","246.21","2,889,328"
03/26/2025,"251.25","254.32","249.53","250.34","4,452,220"
03/25/2025,"248.36","250.90","248.20","249.90","3,133,809"
03/24/2025,"247.31","248.82","245.97","248.45","4,753,331"
03/21/2025,"241.69","245.21","238.50","243.87","9,580,084"
03/20/2025,"244.24","246.80","237.22","243.32","7,026,796"
03/19/2025,"248.33","253.66","246.64","252.29","3,853,598"
03/18/2025,"252.51","252.57","245.12","246.95","4,172,239"
03/17/2025,"249.25","254.63","249.00","252.97","3,234,149"
03/14/2025,"242.75","248.95","241.68","248.35","4,045,284"
03/13/2025,"248.80","249.27","243.04","245.80","3,862,416"
03/12/2025,"250.35","253.13","245.53","249.63","3,849,206"
03/11/2025,"255.99","256.70","245.86","248.95","5,630,570"
03/10/2025,"261.56","266.45","254.75","256.90","8,165,503"
03/07/2025,"245.95","261.96","245.18","261.54","6,700,184"
03/06/2025,"249.75","252.10","246.80","248.69","3,254,358"
03/05/2025,"251.58","252.74","247.01","251.35","4,009,813"
03/04/2025,"248.75","255.48","248.10","253.21","5,342,106"
03/03/2025,"254.74","255.99","248.25","250.19","2,977,699"
02/28/2025,"250.86","252.81","246.54","252.44","7,988,809"
02/27/2025,"255.22","257.63","253.05","253.23","3,402,234"
02/26/2025,"258.10","258.33","254.41","255.84","3,460,124"
02/25/2025,"261.08","263.48","256.77","257.75","6,292,487"
02/24/2025,"261.50","263.85","259.58","261.87","4,398,107"
02/21/2025,"263.85","264.83","261.10","261.48","5,667,874"
02/20/2025,"263.65","265.09","262.15","264.74","4,884,805"
02/19/2025,"262.00","264.36","260.09","264.32","3,718,678"
02/18/2025,"261.93","263.97","259.83","263.07","4,262,812"
02/14/2025,"259.00","261.94","257.91","261.28","3,925,277"
02/13/2025,"255.66","259.28","254.41","259.19","4,531,538"
02/12/2025,"252.72","256.40","252.02","255.81","3,075,308"
02/11/2025,"251.10","256.75","250.58","254.70","4,801,550"
02/10/2025,"250.86","251.95","246.87","249.27","3,564,400"
02/07/2025,"255.28","256.93","252.02","252.34","3,370,284"
02/06/2025,"262.98","263.38","252.73","253.44","6,128,293"
02/05/2025,"265.71","265.72","261.18","263.30","6,165,096"
02/04/2025,"260.00","265.25","258.12","264.46","6,077,652"
02/03/2025,"252.40","262.06","251.84","260.73","8,408,523"
01/31/2025,"256.05","257.24","251.89","255.70","7,203,519"
01/30/2025,"250.00","261.80","247.01","258.27","15,381,890"
01/29/2025,"225.62","229.47","223.73","228.63","7,079,804"
01/28/2025,"224.32","225.77","221.77","225.66","4,485,429"
01/27/2025,"222.19","224.30","219.84","224.13","4,898,355"
01/24/2025,"225.27","226.81","223.80","224.80","3,233,293"
01/23/2025,"223.94","226.04","223.15","226.04","3,619,651"
01/22/2025,"221.98","224.40","220.35","223.26","4,759,490"
01/21/2025,"224.99","227.45","222.83","224.26","3,982,203"
01/17/2025,"225.96","225.96","223.64","224.79","5,506,837"
01/16/2025,"219.69","222.68","217.38","222.66","3,329,060"
01/15/2025,"220.87","221.68","218.01","220.03","2,951,825"
01/14/2025,"218.00","218.13","214.61","217.75","3,485,829"
01/13/2025,"217.89","219.59","214.75","217.40","3,716,816"
01/10/2025,"222.00","222.43","216.80","219.75","3,570,497"
01/08/2025,"223.91","224.90","220.83","223.18","2,619,768"
01/07/2025,"223.35","226.71","222.83","223.96","3,299,701"
01/06/2025,"223.00","224.35","220.75","222.67","2,847,128"
01/03/2025,"220.55","223.66","220.55","222.65","3,873,578"
01/02/2025,"221.82","222.49","217.60","219.94","2,579,498"
